0001,John ,Smith,7 Dundee Street, Edinburgh,15/03/97,john.smith854@Hmail.co.uk,YES,YES,YES,,YES
0002,Aleesha ,Khan,15 Mountcastle Drive, Edinburgh,03/01/13,AleeshaAOK@Coldmail.com,YES,,,,
0003,Ian ,Brown,112 Fairfield Cres,Dundee,03/03/99,Ibrown@Coldmail.com,,,,,YES
0004,Peter ,Gabriel,65 Lorne Ave,Glasgow,29/09/95,peteGabriel77@Hmail.co.uk,YES,YES,,YES,
0005,Dmitri ,Simpson,17 Earls Drive,Dundee,18/02/85,Dsimpson@dead.co.uk,YES,,,,YES
0006,Sergei ,Simpson,17 Earls Drive,Dundee,15/03/87,Ssimpson@dead.co.uk,YES,,,,YES
0007,Alison ,Krauss,119 Broadfoot Mains,Perth,15/11/01,AlisonK@Hmail.co.uk,YES,YES,YES,YES,YES
0008,Pablo ,Hewitt,82 Sea View,Elgin,19/02/77,Phewitt@coldmail.com,,,,YES,YES
0009,Karen ,Brown,5 Parkhead View,Newcastle,05/04/99,Kbrown@unique.com,YES,,,,
0010,Bridget ,Hunter,11 Traquair Park East,Montrose,09/04/93,BBHunter@Coldmail.com,,,,,YES
0011,Ali ,Hussein,72 Tay Street,Perth,03/08/95,AliHussein77@Hmail.co.uk,YES,,,,YES
0012,Amy ,Smith,90 High Street,Aberdeen,17/03/01,amy.smith5@dead.co.uk,YES,YES,YES,YES,YES
0013,Charlie ,Traylor,18 Elgin Street,Aberdeen,11/04/90,Ctraylor@Hmail.co.uk,,,YES,YES,
0014,David ,Mills,2 Perth Street,Forres,05/12/94,David.Mills@Coldmail.com,,,YES,YES,YES
0015,Janice ,Galloway,46 St.Johns Street,Perth,22/04/95,Jan.Galloway@unique.com,,,YES,,YES
0016,Carol ,Burns,16 Ratville Drive,Arbroath,03/06/79,carol.Burns@dead.co.uk,YES,,,,YES
0017,Wendy ,Jones,16 Mearside Drive,Glasgow,12/12/03,Weny.alic.jones@Hmail.co.uk,YES,YES,YES,,YES
0018,Susan ,Reith,6 Park Avenue,Glasgow,24/12/05,Susan.Alex.Reith@Hmail.co.uk,,YES,,,
0019,Sally ,Thompson,44 Dundas Street,Edinburgh,30/10/89,sally.thompson7@dead.co.uk,YES,YES,,,YES
0020,Kausar ,Ali,22 Sighthill Terrace,Glasgow,12/06/93,K.Ali@Hmail.co.uk,,YES,,,
0021,Denise ,Shivas,70 Queens Ave,Perth,02/08/03,denise@dead.co.uk,,,,,YES
0022,Ashima ,Khan,11 George Street,Inverness,19/03/94,Akhan88@Coldmail.com,YES,YES,YES,YES,YES
0023,Clair ,Kerr,38 Broomhall Avenue,Kinross,26/04/92,Ckerr100@Hmail.co.uk,YES,,,,YES
0024,Joan ,Sutherland,55 St. Johns Drive,Glasgow,15/12/89,Joan.sutherland@dead.co.uk,YES,YES,,,
0025,Iain ,McKenzie,17 Home Street,Edinburgh,06/08/02,Iain.Mac@unique.com,YES,,,,
0026,Martin ,Dailly,24 Castle Street,Inverness,16/02/94,Martin.Dailly@Hmail.co.uk,,,,YES,
0027,Michael ,Ure,82 Echline Drive,Kirkcaldy,18/02/99,Michael.Ure@Hmail.co.uk,YES,YES,YES,,YES
0028,Susan ,Lamb,14 Dundee Street,Montrose,20/04/03,susan.lamb@coldmail.com,,,,YES,YES
0029,Graham ,Jackson,120 Hamilton View,Glasgow,30/07/74,grahamjackson@dead.couk,,YES,YES,,
0030,Paula ,Hart,17 Glasgow Road,Edinburgh,09/04/92,Phart@unique.com,YES,,,,
